Interval=	0.0025 s
ExcelDateTime=	4.4993560285485742e+004	3/8/2023 13:26:48.665968
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	EEG
Range=	200.0 µV
2.6775	-20.55053
2.68	-19.58363
2.6825	-17.3971
2.685	-14.61326
2.6875	-11.68954
2.69	-8.535026
2.6925	-5.033614
2.695	-1.767269
2.6975	0.2594227
2.7	1.124991
2.7025	1.981638
2.705	2.653888
2.7075	2.219222
2.71	1.489123
2.7125	1.406579
2.715	1.094875
2.7175	-0.1538702
2.72	-1.442275
2.7225	-2.164939
2.725	-3.018754
2.7275	-5.117839
2.73	-8.381293
2.7325	-11.49395
2.735	-13.49038
2.7375	-14.69888
2.74	-15.93727
2.7425	-17.03333
2.745	-17.34669
2.7475	-17.15995
2.75	-17.46817
2.7525	-18.85954
2.755	-21.782
2.7575	-25.68276
2.76	-28.13574
2.7625	-27.27406
2.765	-23.55523
2.7675	-18.46228
2.77	-13.49991
2.7725	-10.71071
2.775	-11.5456
2.7775	-15.24059
2.78	-20.00336
2.7825	-24.44778
2.785	-26.9226
2.7875	-25.79137
2.79	-21.81562
2.7925	-17.3877
2.795	-13.65166
2.7975	-10.58083
2.8	-8.646652
2.8025	-8.533979
2.805	-10.04601
2.8075	-11.92187
2.81	-12.76807
2.8125	-12.73355
2.815	-13.21416
2.8175	-14.38188
2.82	-15.01998
2.8225	-14.6845
2.825	-13.93006
2.8275	-13.3331
2.83	-13.42653
2.8325	-14.25396
2.835	-15.06642
2.8375	-15.54959
2.84	-16.35563
2.8425	-17.29033
2.845	-16.61995
2.8475	-13.62587
2.85	-9.602287
2.8525	-6.301646
2.855	-4.753197
2.8575	-4.970872
2.86	-6.088737
2.8625	-7.515327
2.865	-9.288593
2.8675	-10.95244
2.87	-11.36396
2.8725	-10.23866
2.875	-8.312747
2.8775	-6.086174
2.88	-3.920992
2.8825	-2.377457
2.885	-1.366084
2.8875	-0.4412287
2.89	0.1473686
2.8925	0.6255415
2.895	1.429856
2.8975	1.782028
2.9	1.078067
2.9025	0.6812689
2.905	1.998655
2.9075	4.271097
2.91	5.74214
2.9125	5.294865
2.915	3.578407
2.9175	2.399287
2.92	2.596952
2.9225	3.2577
2.925	3.462204
2.9275	3.548767
2.93	3.995688
2.9325	4.423376
2.935	3.940448
2.9375	2.044151
2.94	-1.028178
2.9425	-4.159558
2.945	-6.377733
2.9475	-8.169524
2.95	-10.09733
2.9525	-11.4278
2.955	-11.8046
2.9575	-11.64938
